model,fpr,tpr
bureau_proxy,0.7186559679037111,0.8609834099540276
bureau_proxy,0.7352056168505516,0.871477113731761
bureau_proxy,0.7512537612838516,0.8856685988406956
bureau_proxy,0.7668004012036108,0.8981611033379971
bureau_proxy,0.7828485456369108,0.9070557665400759
bureau_proxy,0.8009027081243731,0.9166500099940036
bureau_proxy,0.8159478435305918,0.9258444933040176
bureau_proxy,0.8329989969909729,0.9342394563262043
bureau_proxy,0.8480441323971916,0.9428342994203478
bureau_proxy,0.8665997993981945,0.9518289026584049
bureau_proxy,0.8856569709127382,0.9586248251049371
bureau_proxy,0.9042126379137412,0.9672196681990806
bureau_proxy,0.9227683049147443,0.9764141515090945
bureau_proxy,0.9418254764292878,0.9823106136318209
bureau_proxy,0.9638916750250752,0.9897061762942234
bureau_proxy,0.9844533600802408,0.9961023385968419
logit_behavioral,0.0,0.0
logit_behavioral,0.012036108324974924,0.2291625024985009
logit_behavioral,0.02457372116349047,0.3185088946632021
logit_behavioral,0.037111334002006016,0.3935638616829902
logit_behavioral,0.04964894684052156,0.44173495902458526
logit_behavioral,0.06268806419257773,0.4901059364381371
logit_behavioral,0.07522567703109329,0.5244853088147112
logit_behavioral,0.08776328986960882,0.5552668398960624
logit_behavioral,0.10130391173520562,0.591245252848291
logit_behavioral,0.1148445336008024,0.6233260043973616
logit_behavioral,0.1288866599799398,0.6410153907655407
logit_behavioral,0.14142427281845538,0.6672996202278633
logit_behavioral,0.15446339017051153,0.6880871477113731
logit_behavioral,0.16950852557673018,0.7104737157705376
logit_behavioral,0.18304914744232698,0.7301619028582851
logit_behavioral,0.19809428284854563,0.7515490705576654
logit_behavioral,0.21263791374122368,0.7613431940835499
logit_behavioral,0.22617853560682047,0.7803318009194483
logit_behavioral,0.24022066198595787,0.7948231061363182
logit_behavioral,0.2542627883650953,0.8067159704177493
logit_behavioral,0.26980942828485455,0.8167099740155906
logit_behavioral,0.283851554663992,0.8299020587647411
logit_behavioral,0.3029087261785356,0.841495102938237
logit_behavioral,0.31745235707121366,0.8544873076154308
logit_behavioral,0.33350050150451355,0.8637817309614232
logit_behavioral,0.3485456369107322,0.8737757345592645
logit_behavioral,0.3650952858575727,0.8813711772936238
logit_behavioral,0.3811434302908726,0.8887667399560264
logit_behavioral,0.39969909729187564,0.8968618828702778
logit_behavioral,0.41624874623871616,0.9031581051369179
logit_behavioral,0.4338014042126379,0.9089546272236658
logit_behavioral,0.45085255767301907,0.9164501299220468
logit_behavioral,0.4709127382146439,0.923046172296622
logit_behavioral,0.49398194583751254,0.92884269438337
logit_behavioral,0.5155466399197592,0.9345392764341395
logit_behavioral,0.5396188565697091,0.9394363381970817
logit_behavioral,0.5626880641925778,0.9439336398161103
logit_behavioral,0.5867602808425276,0.9490305816510094
logit_behavioral,0.6133400200601805,0.9539276434139516
logit_behavioral,0.6414242728184554,0.9590245852488507
logit_behavioral,0.656469408224674,0.9645212872276634
logit_behavioral,0.6880641925777332,0.9689186488107135
logit_behavioral,0.7166499498495487,0.9729162502498501
logit_behavioral,0.7397191574724172,0.9781131321207276
logit_behavioral,0.7632898696088265,0.9821107335598641
logit_behavioral,0.7938816449348044,0.9856086348191085
logit_behavioral,0.8304914744232698,0.9897061762942234
logit_behavioral,0.8676028084252758,0.9931041375174895
logit_behavioral,0.9197592778335005,0.9968019188486907
logit_behavioral,0.9979939819458375,1.0
pbcm_gbm,0.0,0.0
pbcm_gbm,0.012036108324974924,0.20177893264041574
pbcm_gbm,0.02457372116349047,0.30541674995003
pbcm_gbm,0.03761283851554664,0.38327003797721365
pbcm_gbm,0.05015045135406219,0.44463322006795925
pbcm_gbm,0.0641925777331996,0.4873076154307416
pbcm_gbm,0.07673019057171515,0.5302818309014591
pbcm_gbm,0.09127382146439318,0.5543673795722567
pbcm_gbm,0.10481444332998997,0.579852088746752
pbcm_gbm,0.119358074222668,0.6017389566260244
pbcm_gbm,0.13390170511534605,0.6385168898660804
pbcm_gbm,0.14944834503510532,0.6598041175294823
pbcm_gbm,0.1649949849548646,0.6812912252648411
pbcm_gbm,0.1810431293881645,0.706176294223466
pbcm_gbm,0.19658976930792377,0.7248650809514291
pbcm_gbm,0.21213640922768304,0.7436538077153708
pbcm_gbm,0.22567703109327983,0.7612432540475714
pbcm_gbm,0.24022066198595787,0.7796322206675994
pbcm_gbm,0.25576730190571717,0.7933240055966421
pbcm_gbm,0.26980942828485455,0.8085148910653608
pbcm_gbm,0.2843530591775326,0.8223066160303818
pbcm_gbm,0.29839518555667,0.831800919448331
pbcm_gbm,0.31344032096288865,0.8436937837297621
pbcm_gbm,0.3304914744232698,0.8533879672196683
pbcm_gbm,0.3460381143430291,0.8624825104937037
pbcm_gbm,0.36258776328986964,0.8715770537677393
pbcm_gbm,0.37963891675025074,0.8798720767539476
pbcm_gbm,0.3971915747241725,0.8893663801718968
pbcm_gbm,0.41675025075225675,0.8967619428342994
pbcm_gbm,0.4353059177532598,0.9050569658205077
pbcm_gbm,0.4593781344032096,0.9112532480511693
pbcm_gbm,0.48294884653961884,0.9168498900659604
pbcm_gbm,0.5090270812437312,0.9241455126923845
